date,values,realtime_start,realtime_end,state,id,title,frequency_short,units_short,seasonal_adjustment_short
2009-01-01,7.7,2023-01-21,2023-01-21,Arkansas,LAUST050000000000003A,Unemployment Rate in Arkansas,A,%,NSA
2010-01-01,7.9,2023-01-21,2023-01-21,Arkansas,LAUST050000000000003A,Unemployment Rate in Arkansas,A,%,NSA
2011-01-01,7.9,2023-01-21,2023-01-21,Arkansas,LAUST050000000000003A,Unemployment Rate in Arkansas,A,%,NSA
2012-01-01,7.3,2023-01-21,2023-01-21,Arkansas,LAUST050000000000003A,Unemployment Rate in Arkansas,A,%,NSA
2013-01-01,7.1,2023-01-21,2023-01-21,Arkansas,LAUST050000000000003A,Unemployment Rate in Arkansas,A,%,NSA
2014-01-01,5.9,2023-01-21,2023-01-21,Arkansas,LAUST050000000000003A,Unemployment Rate in Arkansas,A,%,NSA
2015-01-01,5.0,2023-01-21,2023-01-21,Arkansas,LAUST050000000000003A,Unemployment Rate in Arkansas,A,%,NSA
2016-01-01,4.0,2023-01-21,2023-01-21,Arkansas,LAUST050000000000003A,Unemployment Rate in Arkansas,A,%,NSA
2017-01-01,3.7,2023-01-21,2023-01-21,Arkansas,LAUST050000000000003A,Unemployment Rate in Arkansas,A,%,NSA
2018-01-01,3.6,2023-01-21,2023-01-21,Arkansas,LAUST050000000000003A,Unemployment Rate in Arkansas,A,%,NSA
2019-01-01,3.5,2023-01-21,2023-01-21,Arkansas,LAUST050000000000003A,Unemployment Rate in Arkansas,A,%,NSA
2020-01-01,6.1,2023-01-21,2023-01-21,Arkansas,LAUST050000000000003A,Unemployment Rate in Arkansas,A,%,NSA
2021-01-01,4.0,2023-01-21,2023-01-21,Arkansas,LAUST050000000000003A,Unemployment Rate in Arkansas,A,%,NSA
1976-01-01,9.8,2023-01-21,2023-01-21,Arizona,LAUST040000000000003A,Unemployment Rate in Arizona,A,%,NSA
1977-01-01,8.4,2023-01-21,2023-01-21,Arizona,LAUST040000000000003A,Unemployment Rate in Arizona,A,%,NSA
