date,values,realtime_start,realtime_end,state,id,title,frequency_short,units_short,seasonal_adjustment_short
2008-07-01,28.8,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2008-08-01,29.56,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2008-09-01,31.37,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2008-10-01,30.05,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2008-11-01,29.43,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2008-12-01,30.12,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2009-01-01,29.6,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2009-02-01,27.63,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2009-03-01,25.7,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2009-04-01,30.21,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2009-05-01,31.0,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2009-06-01,29.19,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2009-07-01,27.63,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2009-08-01,27.04,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2009-09-01,30.73,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2009-10-01,31.37,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2009-11-01,30.64,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2009-12-01,32.13,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2010-01-01,31.68,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2010-02-01,29.52,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
