date,values,realtime_start,realtime_end,state,id,title,frequency_short,units_short,seasonal_adjustment_short
2010-02-01,13.73,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2010-03-01,13.66,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2010-04-01,13.64,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2010-05-01,13.61,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2010-06-01,13.97,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2010-07-01,12.65,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2010-08-01,13.78,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2010-09-01,13.37,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2010-10-01,13.49,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2010-11-01,13.14,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2010-12-01,13.85,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2011-01-01,13.84,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2011-02-01,14.03,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2011-03-01,14.29,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2011-04-01,14.21,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2011-05-01,13.96,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2011-06-01,13.6,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2011-07-01,13.9,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2011-08-01,13.69,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2011-09-01,14.18,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2011-10-01,14.13,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
