realtime_start,realtime_end,date,value,id,title,state,frequency_short,units_short,"seasonal_adjustment_short"
2023-01-20,2023-01-20,2016-01-01,85494.0,MEHOINUSAKA672N,"Real Median Household Income in Alaska",Alaska,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2017-01-01,86196.0,MEHOINUSAKA672N,"Real Median Household Income in Alaska",Alaska,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2018-01-01,74161.0,MEHOINUSAKA672N,"Real Median Household Income in Alaska",Alaska,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2019-01-01,83079.0,MEHOINUSAKA672N,"Real Median Household Income in Alaska",Alaska,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2020-01-01,78236.0,MEHOINUSAKA672N,"Real Median Household Income in Alaska",Alaska,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2021-01-01,81133.0,MEHOINUSAKA672N,"Real Median Household Income in Alaska",Alaska,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1984-01-01,43113.0,MEHOINUSALA672N,"Real Median Household Income in Alabama",Alabama,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1985-01-01,44145.0,MEHOINUSALA672N,"Real Median Household Income in Alabama",Alabama,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1986-01-01,45277.0,MEHOINUSALA672N,"Real Median Household Income in Alabama",Alabama,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1987-01-01,45148.0,MEHOINUSALA672N,"Real Median Household Income in Alabama",Alabama,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1988-01-01,44047.0,MEHOINUSALA672N,"Real Median Household Income in Alabama",Alabama,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1989-01-01,45028.0,MEHOINUSALA672N,"Real Median Household Income in Alabama",Alabama,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1990-01-01,47092.0,MEHOINUSALA672N,"Real Median Household Income in Alabama",Alabama,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1991-01-01,47363.0,MEHOINUSALA672N,"Real Median Household Income in Alabama",Alabama,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1992-01-01,48989.0,MEHOINUSALA672N,"Real Median Household Income in Alabama",Alabama,A,"2021 CPI-U-RS Adjusted $",NSA
