realtime_start,realtime_end,date,value,id,title,state,frequency_short,units_short,"seasonal_adjustment_short"
2023-01-20,2023-01-20,1982-11-01,10.5,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1982-12-01,10.8,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1983-01-01,12.5,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1983-02-01,12.3,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1983-03-01,11.7,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1983-04-01,10.8,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1983-05-01,10.1,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1983-06-01,9.8,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1983-07-01,8.5,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1983-08-01,8.3,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1983-09-01,8.8,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1983-10-01,8.9,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1983-11-01,9.8,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1983-12-01,10.2,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1984-01-01,11.8,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1984-02-01,11.7,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1984-03-01,11.3,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1984-04-01,11.1,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1984-05-01,10.2,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1984-06-01,9.5,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1984-07-01,8.6,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1984-08-01,8.2,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1984-09-01,8.7,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1984-10-01,9.0,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1984-11-01,9.4,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1984-12-01,9.4,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1985-01-01,10.9,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
